ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,repeat_n,adx_value,adx_regime,btc_adx_regime,decision
2026-06-06T05:26:11.311262-05:00,rsi_extreme,ALLO-USDT,sell,90.3,95.24,,bear,,True,False,True,,,,,,,enter
2026-06-06T05:35:50.699091-05:00,rsi_extreme,BLUAI-USDT,sell,90.4,57.58,,bear,,True,False,True,,,,,,,enter
2026-06-06T07:31:32.222865-05:00,rsi_extreme,ALLO-USDT,sell,91.1,101.57,,bull,,True,False,False,,,,,,,enter
2026-06-06T11:06:43.020847-05:00,rsi_extreme,ALLO-USDT,sell,90.1,137.98,,bull,,True,False,False,,,,,,,enter
2026-06-06T13:06:49.613903-05:00,rsi_extreme,ALLO-USDT,sell,90.0,123.24,,bull,,True,False,False,,,,,,,enter
2026-06-06T13:36:28.303713-05:00,rsi_extreme,SKYAI1-USDT,sell,90.1,76.74,,bull,,True,False,False,,,,,,,enter
2026-06-06T15:36:17.040884-05:00,rsi_extreme,SKYAI1-USDT,sell,91.8,86.13,,,,True,False,,,,,,,,enter
2026-06-06T19:45:34.319733-05:00,rsi_extreme,BLESS-USDT,sell,92.4,66.13,,,,True,False,,,,,,,,enter
2026-06-07T04:01:00.217849-05:00,oraclealgo,BTC-USDT,buy,,,,,62752.6,,,,,1,,,,,no_bias
2026-06-07T11:45:23.789640-05:00,rsi_extreme,VELVET-USDT,sell,90.4,47.41,,,,True,False,,,,,,,,enter
2026-06-07T12:41:22.858131-05:00,oraclealgo,BTC-USDT,sell,,,,,62205.4,,,,,1,,,,,no_bias
2026-06-07T15:00:59.807511-05:00,oraclealgo,BTC-USDT,sell,,,MSS,,61199.6,,,,,1,,,,,no_bias
2026-06-07T18:00:54.280804-05:00,oraclealgo,BTC-USDT,buy,,,MSS,,62929.0,,,,,1,,,,,no_bias
2026-06-08T06:04:14.003558-05:00,rsi_extreme,MOVE-USDT,sell,91.1,37.79,,,,True,False,,,,,,,,enter
2026-06-08T12:10:11.563692-05:00,rsi_extreme,VELVET-USDT,sell,90.2,53.48,,,,True,False,,,,,,,,enter
2026-06-08T21:19:10.207959-05:00,rsi_extreme,SAHARA-USDT,buy,14.9,-47.41,,,,True,False,,,,,,,,enter
2026-06-08T23:20:49.151423-05:00,rsi_extreme,SAHARA-USDT,buy,11.8,-60.15,,,,True,False,,,,,,,,enter
2026-06-09T01:20:17.565014-05:00,rsi_extreme,SAHARA-USDT,buy,14.9,-56.07,,,,True,False,,,,,,,,enter
2026-06-09T09:00:51.403133-05:00,oraclealgo,BTC-USDT,sell,,,MSS,,62305.0,,,,,1,,,,,no_bias
2026-06-09T10:01:25.958954-05:00,oraclealgo,BTC-USDT,sell,,,,,61371.1,,,,,1,,,,,no_bias
2026-06-10T07:10:50.020188-05:00,rsi_extreme,HMSTR-USDT,sell,90.2,30.42,,,,True,False,,,,,,,,enter
2026-06-10T09:21:25.971958-05:00,rsi_extreme,HMSTR-USDT,sell,90.5,38.47,,,,True,False,,,,,,,,enter
2026-06-10T11:01:30.811115-05:00,oraclealgo,BTC-USDT,buy,,,,bull,62522.6,,,,,1,,,,,enter
2026-06-10T11:20:37.467427-05:00,rsi_extreme,HMSTR-USDT,sell,94.5,44.5,,bull,,True,False,False,,,,,,,enter
2026-06-10T21:10:28.695462-05:00,rsi_extreme,AIO-USDT,sell,91.7,86.69,,,,True,False,,,,,,,,enter
2026-06-11T04:00:58.518825-05:00,oraclealgo,BTC-USDT,buy,,,MSS,stale-bull,62898.6,,,,,1,,,,,no_bias
2026-06-11T11:33:35.081994-05:00,rsi_extreme,TRX-USDT,buy,14.6,-2.91,,,0.31552,True,True,,,,1,18.9,ranging_calm,bear_indecisive,enter
2026-06-12T02:00:18.697086-05:00,oraclealgo,BTC-USDT,sell,,,MSS,stale-bull,62958.0,,,,,1,,,,bear_ranging_calm,no_bias
2026-06-12T05:35:44.505366-05:00,rsi_extreme,TRUMP-USDT,sell,90.3,28.09,,,2.177,True,False,,,,1,40.0,trending_strong,bear_ranging_calm,enter
2026-06-12T21:47:47.561674-05:00,rsi_extreme,SIREN-USDT,buy,14.9,-30.39,,,0.3444,True,False,,,,1,40.9,trending_strong,bear_ranging_calm,enter
2026-06-12T23:48:49.669582-05:00,rsi_extreme,SIREN-USDT,buy,8.8,-56.89,,,0.2089,True,False,,,,2,48.9,trending_strong,bear_ranging_calm,repeat_alert
2026-06-13T00:26:37.086623-05:00,rsi_extreme,AXL-USDT,sell,90.0,21.85,,,0.0519,True,False,,,,1,,,bear_ranging_calm,enter
2026-06-13T01:48:40.266685-05:00,rsi_extreme,SIREN-USDT,buy,10.8,-67.06,,,0.1623,True,False,,,,3,54.5,trending_strong,bear_ranging_calm,repeat_alert
2026-06-13T03:49:39.683099-05:00,rsi_extreme,SIREN-USDT,buy,14.5,-73.05,,,0.1346,True,False,,,,4,61.0,trending_strong,bear_ranging_calm,repeat_alert
2026-06-13T05:50:46.806269-05:00,rsi_extreme,SIREN-USDT,buy,14.3,-75.7,,,0.123,True,False,,,,5,64.0,trending_strong,bear_ranging_calm,repeat_alert
2026-06-13T06:01:21.884078-05:00,oraclealgo,BTC-USDT,buy,,,MSS,stale-bull,63803.5,,,,,1,,,,bear_ranging_calm,no_bias
2026-06-13T07:51:45.720187-05:00,rsi_extreme,SIREN-USDT,buy,14.4,-75.23,,,0.1248,True,False,,,,6,64.8,trending_strong,bear_ranging_calm,repeat_alert
2026-06-13T09:10:10.907718-05:00,rsi_extreme,TAO-USDT,sell,90.0,21.87,,,259.89,True,False,,,,1,43.9,trending_strong,bear_ranging_calm,enter
